user name,post date,post stars,user comment,images
No Name,13 Ноября 2021,100%,"['        Достоинства       Маленькая окуратная сумочка. Мой вариант и телефон положить и паспорт. ПрикольнаяМне понравилась. ', '        Недостатки       Недостатков нет ', '        Комментарий       Прикольная ']",n/a
Анастасия Г.,12 Ноября 2021,100%,"['        Достоинства       удобная, маленькая ', '        Недостатки       мятая немного, но это не страшно ', '        Комментарий       все гуд 😊 ']",n/a
Дарья Ш.,11 Ноября 2021,100%,"['        Достоинства       Вместительная  ', '        Недостатки       Нет ', '        Комментарий       Сумка за свои деньги хорошего качества, удобная и вместительная. Выглядит стильно.  ']",n/a
Виктория Ч.,11 Ноября 2021,100%,n/a,n/a
Анастасия Р.,10 Ноября 2021,80%,n/a,n/a
Вера П.,10 Ноября 2021,100%,n/a,n/a
Горюкова А.,10 Ноября 2021,100%,n/a,n/a
No Name,9 Ноября 2021,100%,n/a,n/a
Анастасия Р.,9 Ноября 2021,100%,"['        Достоинства       качество отличное,цена  ', '        Недостатки       нет ', '        Комментарий       отличная сумка! в подарок прлржили резинку для волос ']",['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/3751e0ec-fbab-46b1-adbd-6d2831a73b77.jpeg']
Лилия К.,8 Ноября 2021,40%,"['        Достоинства       Не увидела ожидание -реальность ', '        Недостатки       Маленькая по размеру,пришла вся мятая!вместе с сумкой лежала какая то ношеная резинка для волос !(((очень расстроена  ']",n/a
No Name,7 Ноября 2021,20%,"['        Недостатки       Резкий запах, клей торчит, очень плохого качества ']",n/a
Анастасия Г.,7 Ноября 2021,80%,"['        Достоинства       удобная, компактная, не дорогая ', '        Недостатки       быстро поломалась щастежка для ремешка ', '        Комментарий       сумка соответствует своей цене ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/51f53387-c392-4b1f-ab7c-296c1f665803.jpeg']
Анастасия А.,6 Ноября 2021,100%,n/a,n/a
Анна Д.,5 Ноября 2021,100%,['        Достоинства       отлично😘 '],n/a
Юрий Т.,5 Ноября 2021,100%,n/a,['https://cdn1.ozone.ru/s3/video/cover/wc500/01FKR3HMBYW71VNXG113WEMERC.jpg']
Ольга С.,5 Ноября 2021,80%,"['        Достоинства       маленькая ', '        Недостатки       непрочная ', '        Комментарий       сумка меньше, чем на фото - разве что телефон влезет. На ощупь чуть плотнее чем картон, нет ощущения, что она со мной надолго. ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/9f9d841b-a9ce-4f0a-b0c2-e13e956ea7e1.jpeg']
Елена М.,5 Ноября 2021,100%,['        Достоинства       очередь круто сочетается почти со всей одеждой  '],n/a
Маргарита Д.,4 Ноября 2021,100%,n/a,n/a
Алёна С.,4 Ноября 2021,60%,"['        Достоинства       маленькая, удобная  ', '        Недостатки       Порвалась цепочка в первый день использования ']",n/a
Александра Р.,2 Ноября 2021,100%,n/a,n/a
No Name,30 Октября 2021,100%,"['        Достоинства       хорошее качество ', '        Недостатки       - ']",n/a
Костенко К.,29 Октября 2021,80%,"['        Достоинства       красивая, жесткая, удобная,  ', '        Недостатки       пришла с розывми пятнами,  но получилось их оттереть ', '        Комментарий       хорошо упаковали ']",n/a
No Name,26 Октября 2021,100%,['        Достоинства       удобная '],n/a
Светлана О.,25 Октября 2021,100%,n/a,n/a
Светлана С.,24 Октября 2021,100%,n/a,n/a
No Name,24 Октября 2021,100%,n/a,n/a
Алина С.,8 Декабря 2021,100%,[' Сумочка ну прям очень понравилась. Красива и вместительная. Очень рада преобретению '],['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/60b8eb74-6640-4795-8c01-59d5b0c91c87.jpeg']
Софья К.,8 Декабря 2021,20%,"['        Достоинства       Нет  ', '        Недостатки       Дешевая ткань , ремень как нить  ', '        Комментарий       Ужасное качество  ']",n/a
виктория,22 Октября 2021,100%,['        Достоинства       хорошая сумочка '],n/a
Ксения Т.,22 Октября 2021,100%,n/a,n/a
Ирина Н.,22 Октября 2021,40%,"['        Достоинства       с виду ничего ..но если присмотреться, ужас полный  ', '        Недостатки       торчат нитки , ужасные швы  ', '        Комментарий       не рекомендую.  ']",n/a
Наташа К.,21 Октября 2021,100%,"[' Сумка понравилась, к качеству нет вопросов. Рекомендую ']",n/a
Татьяна М.,21 Октября 2021,20%,"['        Достоинства       Ужас просто ! ', '        Недостатки       Швы,виден поролон ']",n/a
No Name,20 Октября 2021,100%,n/a,n/a
Сергей Ж.,19 Октября 2021,100%,n/a,n/a
Анжела М.,19 Октября 2021,100%,n/a,['https://cdn1.ozone.ru/s3/video/cover/wc500/01FJCC2HMHHC8F28R6MPHESNH9.jpg']
Елена Л.,18 Октября 2021,100%,n/a,n/a
Екатерина Д.,18 Октября 2021,80%,n/a,n/a
Бахтле М.,16 Октября 2021,100%,n/a,n/a
Елена Л.,16 Октября 2021,100%,"['        Достоинства       Красивая модная сумка  ', '        Недостатки       Привезли всю мятую и какую-то липкую. Не указана длина широкого ремешка. Я думала длинный  ']",n/a
No Name,16 Октября 2021,80%,['        Недостатки       Пришла помятая!  '],n/a
Ольга Б.,15 Октября 2021,60%,"['        Достоинства       даже не знаю что и сказать. вместительная ', '        Недостатки       всё! дешёвый Китай.  ', '        Комментарий       сумка выглядит не качественно, я думаю что лучше добавить 500 рублей и купить в магазине более менее. ну лучше чем это. возращать не буду, похожу.  ']",n/a
Дарья П.,13 Октября 2021,100%,n/a,n/a
No Name,10 Октября 2021,100%,"[' класная сумка, плотная, в комплекте на выбор 2 ремешка.  ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/bbd5cf7e-22e7-4557-b5a0-e281f947350d.jpeg']
Ольга К.,9 Октября 2021,20%,[' Для детей выброшены деньги '],n/a
Елена Г.,8 Октября 2021,100%,"['        Достоинства       То, что хотела. Отличная, небольшая сумочка. За такие деньги - вообще супер! ', '        Недостатки       Не нашла  ', '        Комментарий       Спасибо производителю ))) ']",n/a
Анастасия Я.,8 Октября 2021,100%,"['        Достоинства       аккуратненькая милая сумочка, точно соответствует фото ', '        Недостатки       нет ', '        Комментарий       дочке нравится ']",n/a
Анастасия Я.,8 Октября 2021,100%,"['        Достоинства       аккуратная маленькая сумочка, точно соответствует описанию и фото ', '        Недостатки       нет ', '        Комментарий       дочке нравится ']",n/a
Лейсан М.,8 Октября 2021,80%,"['        Достоинства       Красиво, стильно  ', '        Недостатки       На ощупь будто из картонки сделано ', '        Комментарий       Внешний вид не вызывает никаких нареканий. Но на ощупь, действительно не лучшие ощущения, будто сделано из картонки. Цепочка постоянно соскальзывает с плеча, а через голову перекинуть не хватает длины цепочки. Открывать трудновато, замочек заедает немного. Телефон влез с трудом, не хватает буквально... Читать полностью']",n/a
наталья з.,6 Октября 2021,100%,"['        Достоинства       супер скмочка!!! ', '        Недостатки       нет ', '        Комментарий       отличная сумка для прогулок, отдыха. ']",n/a
No Name,6 Октября 2021,60%,"['        Достоинства       красивая ', '        Недостатки       запах резины, некачественный ремешок на цепочке, галимый Китай ', '        Комментарий       оставила в надежде, что запах выветрится  ']",n/a
Екатерина Г.,6 Октября 2021,100%,"['        Достоинства       Маленькая, красивая, стильная  ', '        Недостатки       Второй ремень, тканевый, хотелось бы подлиннее.  ', '        Комментарий       Сумочка очень понравилась, вместительная довольно, не смотря на то, что маленькая, но компактная. Жаль тканевый ремешок короткий.  ']",n/a
Наталия К.,4 Октября 2021,100%,n/a,n/a
Евгения С.,5 Октября 2021,60%,"['        Достоинства       довольно вместительная ', '        Недостатки       ремешок выглядит дешево ']",n/a
Татьяна К.,3 Октября 2021,100%,n/a,n/a
Анастасия П.,2 Октября 2021,100%,"['        Достоинства       Плотная, держит форму, хороший замок ', '        Недостатки       Меньше чем на фото, слабенькая цепочка ', '        Комментарий       В целом хорошая вещица, но ожидала, что она будет больше. В остальном соответствует описанию ']",n/a
Юлия Г.,2 Октября 2021,100%,"['        Достоинства       Красивая маленькая сумочка. Благодаря натуральным оттенкам подойдёт практически к любой одежде. Швы ровные. Застежка интересная, не знаю как покажет себя на практике, но пока все нравится ']",n/a
Ксения Н.,1 Октября 2021,80%,"['        Достоинства       Именно то что я хотела ', '        Комментарий       Спасибо большое! Очень удобно что пункты выдачи находятся не далеко, можно найти товар на удобную для тебя сумму.Заказы приходят вовремя. ']",n/a
Марина Ш.,30 Сентября 2021,20%,"['        Недостатки       Ужасное качество. Я конечно за такую сумму не ждала вау эффекта, но она не стоит даже этих денег. Первый раз за все время заказов оформила возврат.  От не эе ужасно пахнет, застежка вся пришла в царапинах, внутри мелкие кусочки клея.  ']",n/a
Илона С.,29 Сентября 2021,100%,"['        Достоинства       Смотрится хорошо.  ', '        Недостатки       Чувствуется запах  ', '        Комментарий       Вмещается телефон, расческа и бумажные и влажные салфетки.  ']",n/a
Оксана М.,28 Сентября 2021,100%,n/a,n/a
Анастасия Д.,27 Сентября 2021,100%,"['        Достоинства       Красивая , удобная  ', '        Недостатки       Цепь порвалась почти сразу  ']",n/a
Ольга М.,25 Сентября 2021,100%,n/a,n/a
No Name,23 Сентября 2021,20%,"['        Достоинства       их нет ', '        Недостатки       Не сумка,а недоразумение. Дерматиновый кулек. ']",n/a
Алина Г.,22 Сентября 2021,100%,"['        Достоинства       Маленькая, очень стильно выглядит ) цена вообще сказка ', '        Недостатки       Не нашли пока ', '        Комментарий       Покупалась в подарок, самое главное, что получатель рад ) всем рекомендую  ']",n/a
Полина Ф.,20 Сентября 2021,40%,"['        Достоинства       Очень понравился милый внешний вид сумки и хороший размер (чуть больше формата А5) ', '        Недостатки       Поврежденная фурнитура, вся в сколах/царапинах и в повреждениях. На фурнитуре нет защитной пленки.Внутри сумка оказалась грязная, замок внутреннего кармана плохо ходит.  ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/37161eaa-22ae-4f61-bf04-423dca855fbd.jpeg']
No Name,18 Сентября 2021,100%,"['        Достоинства       Хорошее качество, приятная на ощупь, два  сменных ремешка ', '        Комментарий       В подарок дали цепочку  ']",['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/54933b4f-6f21-4c00-bf20-cd011ed931a7.jpeg']
Наталья Г.,17 Сентября 2021,80%,['        Недостатки       Слишком маленькая '],n/a
София Л.,16 Сентября 2021,100%,"['        Достоинства       вообще шикарно ', '        Недостатки       нет ']",n/a
Данилова Д.,15 Сентября 2021,100%,n/a,n/a
Ольга К.,8 Сентября 2021,100%,"['        Достоинства       Супер сумочка. Смотрится отлично. Удобна. За свои деньги ооочень даже круто👍👍👍. Ещё и приятный подарок положили.  ', '        Недостатки       Материал не эко кожа, даже не знаю что это. Плотный достаточно. Но такой материал как раз держит форму, что тоже ещё одно достоинство👍 ']",n/a
Щербак Надежда Александровна,7 Сентября 2021,100%,"['        Достоинства       Симпатичная, маленькая сумочка  ', '        Недостатки       Хлипкая цепочка ']",n/a
Мария Л.,6 Сентября 2021,100%,"[' Сумочка просто замечательная, уместилось все самое необходимое. Рекомендую к покупке ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/53f06fe6-73ed-4787-9465-8374b1c34078.jpeg']
Таня И.,5 Сентября 2021,100%,"[' Сумка что надо! Вместительная, при этом не смотрится огромной. Качественная модель ']",['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/2aba013c-de19-400a-bad1-afd6c0995c3f.jpeg']
Надежда Б.,5 Сентября 2021,20%,"['        Достоинства       Ну чисто теоретически это сумка да  ', '        Недостатки       Сделана из картона грубо говоря ,Внутри даже шов не прошитый. Очень обидно :( ']",n/a
Диана А.,4 Сентября 2021,100%,"[' Сумка очень хорошая, качественно прошита и выглядит дорого ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/5ccb2788-7ee2-466b-a6f6-3d64b20e05b4.jpeg']
Ангелина Ч.,2 Сентября 2021,100%,n/a,n/a
Эльнур М.,1 Сентября 2021,100%,[' Отличный товар  '],n/a
No Name,26 Августа 2021,100%,n/a,n/a
Руслана К.,24 Августа 2021,60%,"['        Недостатки       Качество не очень, такое ощущение, что держу в руках куртку, а не сумку ']",n/a
Светлана К.,24 Августа 2021,100%,n/a,n/a
Марина Б.,17 Августа 2021,20%,"['        Недостатки       Запах отвратительный, неделю выветривала, толку ноль, не рекомендую!!!  ']",n/a
No Name,17 Августа 2021,80%,n/a,n/a
Полина Е.,2 Августа 2021,100%,n/a,n/a
