user name,post date,post stars,user comment,images
Галина К.,18 Апреля 2022,60%,"['        Достоинства       Цвет  ', '        Недостатки       Очень маленькая, кожзам тонкий, выглядит очень дёшево, не как на фото.  ', '        Комментарий       Маленькие, тонюсенькие карабины даже расцепить не возможно. Полное г..  ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/7eda07b8-1405-4829-9b4b-5092b6634333.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/2fd134ae-b4e1-4b99-9288-12bca14b4be0.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/9870170f-eaf5-41ab-a904-9e4bccc42bd3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/e5baa024-8db6-40dc-b556-9f403e14c928.jpeg']"
Амина К.,17 Апреля 2022,60%,"['        Достоинства       Вид,удобство ', '        Недостатки       размер ', '        Комментарий       Очень практичная,телефон с кашельком и + другие вещи хорошо вмешаються,на выход в самый раз ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/5cba5aff-302f-421a-8021-44c13542a9a2.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/28857121-1854-4de2-b17a-f2f78d60f8a0.jpeg']"
No Name,15 Апреля 2022,100%,"['        Достоинства       вместииельная сумка, стильная, ремешок у сумки очень удобный ', '        Недостатки       - ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/5673c27d-4aa7-402d-a477-790fc5000872.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/7cd86cea-d728-4548-b6ac-1c5d4c75d068.jpeg']"
Ирина Ф.,13 Апреля 2022,100%,"['        Недостатки       Немного пахнет ', '        Комментарий       Купила в подарок дочке. Хорошая сумочка, небольшого размера.  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G0HMVMRDC5FW4M6NVNG9DN88.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/512abb0a-2aa0-4c6b-8b67-45ac63ace44c.jpeg']"
Зухра К.,12 Апреля 2022,80%,"['        Достоинства       Цена ', '        Недостатки       Пришёл весь пыльный могли бы и протереть,немного нитки торчат ещё и с запахом был.  ', '        Комментарий       Не плохая сумочка за свои деньги надеюсь носить её достаточно долго,в целом я довольна заказом но если бы не недостатки поставила бы 5 звёзд!  ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/b01d5cce-10e3-4f96-8b8a-eef6086c75f3.jpeg']
No Name,12 Апреля 2022,100%,"['        Достоинства       легкая, стильная ', '        Недостатки       нет карманов  ', '        Комментарий       оригинал, прикольная  ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/90d02598-011b-415e-aa95-cc02d9b9c248.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/100c13a2-af1a-4c13-a3c8-cf817e653a91.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/95b1da4d-85af-4052-bcb0-694be8d1b249.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/4f59e3c2-85a3-425c-95f8-fcc2b18a4042.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/986deaab-3463-4a1d-90b6-335eb7194b5e.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/5df4f3c8-461d-4fa6-8af2-d42dfca77ae5.jpeg']"
Виктория С.,12 Апреля 2022,100%,"['        Достоинства       яркий акцент, стильная ', '        Недостатки       тонковато полотно черное ', '        Комментарий       сумка вполне приличная, качество и пошив хорошие, но дороговато, в магазине если бы увидела, за такие деньги не взяла бы. ориентируясь на фото, ожидала конечно немного другого. была бы более плотная, было бы отлично.  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G0E4VKF8H6QPCVH8Q8WVVT1G.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/d44207b3-a3f3-4562-8b45-32285fdd1f2a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/3abf453b-8d45-40d2-814a-ef1cd7919877.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/45885392-74e7-477a-9a2d-18a4812aab60.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/9c472a49-e431-400e-a7d7-b39074a4c6bc.jpeg']"
Надежда К.,10 Апреля 2022,100%,"['        Достоинства       Мягкая, лёгкая, стильная, вместительная сумка! Подойдёт абсолютно под любой образ! Внутри 1 большое отделение + 1 боковой кармашек. Из застёжек - только 1 ""общая"" кнопка: но это не критично.  ', '        Недостатки       Пока не нашла ', '        Комментарий       Очень всё понравилось, рекомендую! ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/4a1f621f-e836-4049-9118-a1f8c4db744d.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/f919ecf2-653b-483e-825d-ea341041e9b5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/0d11a524-d0d8-47fa-a358-eb8c2d178ecc.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/9d01110f-ebff-41c9-9e9e-3af0002dc168.jpeg']"
Анна К.,5 Апреля 2022,100%,"['        Достоинства       Прочная ', '        Недостатки       Нет ', '        Комментарий       Добротная сумка,понравилась,советую. ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FZW534WPY9MMMSXXDP6ADV86.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/af2bb1f8-f2ad-4684-a093-5c3efcf2b464.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/635364c2-5943-4e13-ac66-60664cc180e0.jpeg']"
Марина Д.,31 Марта 2022,100%,"['        Достоинства       отличная, мягкая, не большая и не маленькая ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FZFRCTTPHJ6F0MFH9P5YVZ6J.jpg']
