user name,post date,post stars,user comment,images
Наталия Д.,4 Апреля 2022,100%,"['        Достоинства       легкая, нарядная, спортивная ', '        Недостатки        один карман внутри. ', '        Комментарий       Симпатичеая. Так как внутри один кармашек, заказала косметичку этой же фирмы для хранения чего либо.  ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/3e1bed95-05a7-4a27-acec-85c725a086bc.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/014e56f3-03ba-4b8b-be65-fc112d0793b5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/72e948aa-ccc0-4870-a6d1-864022f4815d.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/cefdecca-5b3f-4baf-bea0-a71709a672b5.jpeg']"
Вера М.,29 Марта 2022,100%,"['        Достоинства       Удобная в носке и смотрится хорошо ', '        Недостатки       нет ', '        Комментарий       для весны сумочка самое то, под джинсовую куртку ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/68d7c103-a88e-4685-90f9-f0850e701172.jpeg']
Елена К.,27 Марта 2022,100%,"['        Достоинства       Сумка- шопер! Классная, модная! ', '        Недостатки       Нет ', '        Комментарий       Аккуратно сшита! Выглядит на отлично! ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/b10d5d24-7244-4a55-91a8-d2520345b1cb.jpeg']
Наталья К.,24 Марта 2022,100%,"['        Достоинства       очень нравиться,удобная длинна ручек, можно носить и на плечо и в руках. плотная,аккуратно прошитая,внутренний карман на молнии, лёгкая, вместительная. ', '        Недостатки       нет ', '        Комментарий       всем рекомендую. ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/0fb9a8a8-f155-48c3-afa7-1af9d887b223.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/7b3ab5fc-9f07-4f7c-ac67-dc9fdb3a4c3e.jpeg']"
Ксения Т.,20 Марта 2022,100%,"['        Достоинства       Вместительная ', '        Недостатки       Сползает с плеча когда в куртке ', '        Комментарий       Сумка очень вместительная , хожу с ней в зал, помещаются кроссовки, форма, бутылка воды и всякие мелочи, внутри есть маленький кармашек на замочке ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/7f124ac1-58ef-474f-a462-f1b95d54340c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/073bb3ca-0263-4b54-85ce-2e606b2a2e36.jpeg']"
Наталия С.,17 Марта 2022,100%,"['        Достоинства       упакована идиально,повреждений нет,ниьки не торчат,швы ровные ', '        Недостатки       нет ', '        Комментарий       цвет приятный,смотрится не плохо ,надо подумать  с чем носить. ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/c0f975f4-5d61-4fd8-8b8e-b68b0009b079.jpeg']
Олеся С.,14 Марта 2022,100%,"['        Достоинства       Отличная, удобная сумка. Покупкой довольна  ', '        Недостатки       Не обнаружила ', '        Комментарий       Советую к покупке  ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/658253c9-2012-4658-a87c-85f5a842a803.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/a6c9e2a1-262f-438f-b140-086a19eba3dc.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/b99cce55-24f2-4b90-a8e4-1f5f018493f9.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/e2e4b19f-f390-474f-88e1-49118e0c9a7e.jpeg']"
Анна Л.,9 Марта 2022,100%,"['        Достоинства       удобный ', '        Комментарий       стильный шопер. внутри есть одон кормашик ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/891c5baf-ecd4-4914-a057-8959b49ad48d.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/8e661482-11ef-42c9-b6f7-3eb3558c9be3.jpeg']"
Лариса Л.,28 Февраля 2022,100%,"['        Достоинства       Сумка отличная, не громоздкая, но вместительная. Швы двойные, внутри обработаны. Простежка не ниточная, на вид, как перфорация клеевая. Очень плотная ткань, цвет серый. ', '        Комментарий       Закажу еще на подарки! ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/e2cc9736-1a7c-4828-bc9a-2ab77713994d.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/a91703e8-0b2d-4933-811b-1073d4101aa5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/071fc779-eb61-47ef-885e-4eb03a71193a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/dbb3d01c-8cef-42cc-ae59-e56d8d117219.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/40457d52-83cd-44f3-a7f7-688dc7339ffd.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/13ecf7b2-a29e-4018-8535-fbb0e7ec6692.jpeg']"
Луиза,9 Февраля 2022,100%,"[' Сумка для шопинга очень хорошего качества.Прошита отлично,без деффектов.На фото синего цвета,а пришла темно синего цвета,немного расстроило.Сумка вместительная,есть кармашек внутри глубокий,на магнитной заклепке.Не успела купить по скидке,купила за 800 с чем то.Цена завышена для такой сумки.Упакована была не очень,в прозрачный пакет,сбоку скотч,для... Читать полностью']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/0940590d-ed1f-4ded-aa28-6769d64bab8e.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/0dfb3b8b-37b6-4f41-8e24-e38f7508f350.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/eb926d8e-f291-4100-9a37-0c9c5a297341.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/99672e3a-eeb1-462d-ae3a-093f75194445.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/a42970eb-6889-42c2-a3ea-51e99d0dc218.jpeg']"
No Name,6 Февраля 2022,100%,"['        Достоинства       Мягкая, легкая ', '        Недостатки       Сумка снизу широкая, это хорошо, но сверху она узкая, вход в сумку узковат, непривычно ', '        Комментарий       Цена хорошая, сумка для ежедневного применения просто отличная,  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FV73TT8ZMJSEKD3S8DN9N0TE.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/834b1ed1-e21d-4aeb-a0db-030695e58aba.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/5ae95b60-2dc0-4391-8d06-1ac58d667a97.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/8fa663ea-bbc6-4d53-9fac-969cd62ad831.jpeg']"
Ирина В.,6 Февраля 2022,100%,"['        Достоинства       Сумка хорошего качества! ', '        Недостатки       Нет. ', '        Комментарий       Покупкой довольна.Спасибо производителю. ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/ac06933e-45aa-4263-8885-4be590471a3a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/f8c2595e-b344-4368-8c62-3e5a14ca5efa.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/c250fc7f-53dc-4eb1-b753-21dfb6579b07.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/9e910ddb-77f1-42f1-9e34-9c6ab6b59ba9.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/893e357f-6f42-40d2-b2e0-a19670d2b0bf.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/6aae645a-6b40-49d5-beda-2894bd09480e.jpeg']"
Татьяна Т.,11 Февраля 2022,100%,"['        Достоинства       Сумка классная, прошито аккуратно, плотная. Достаточно вместительная.   ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/6dc8f8ef-436f-451d-b3b8-dd8c215fd416.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/7ee56364-c1db-4cf5-a2ac-edad993ed621.jpeg']"
Guzel M.,3 Февраля 2022,100%,"['        Достоинства       Сумка красивая , качественная , удобная. Мне очень нравится ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/2d466afa-2843-4f6e-8090-a3fbd9479f66.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/b5f51f5f-0861-4691-88f3-7ad2b3c5ea3e.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/49613ac2-269d-4f48-b801-c4c0ca71d6e4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/664748cf-6f9f-43de-aff2-9a50b957a5eb.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/a35c3d05-de77-41b5-a67f-7ca017f8bdbe.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/ffc40d07-74c3-44b3-a914-b92e8a85e941.jpeg']"
Юлия А.,11 Февраля 2022,100%,"['        Достоинства       прекрасная сумочка, легкая, удобная, вместительная, непромокаемая.Для работы супер! Для спорта-супер!!! ', '        Недостатки       нет ', '        Комментарий       Можно пристегнуть карабинчик к сумке и вешать мокрый зонтик!Сумочка не намокнет! Подруга такую тоже купила! ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/1f0fc01c-b798-455b-a5b8-2ae5f6a12710.jpeg']
Ирина Г.,30 Января 2022,100%,"['        Достоинства       Лёгкая, вместительная, цена ', '        Недостатки       Нет ', '        Комментарий       Сумка супер ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/d2a895af-8d29-4827-a6e6-d6fc13a1172f.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/3a400f50-c0f5-4a60-8d36-52e29401758e.jpeg']"
Ольга Г.,28 Января 2022,60%,"['        Достоинства       Качество хорошее  ', '        Недостатки       Описанию не соответствует  ', '        Комментарий       Прострочка не двойная, как на фото и видео отзывах, а одинарная. Лейбла нет. На качество носки, надеюсь, не повлияет, но пару звёзд снимаю за это. И плюс странность обнаружила. В корзину складывала сумку за 661 рубль, а в итоге заплатила 780 рублей. Как так получилось, непонятно. А теперь она снова стоит за 661р🤷\u200d♀️ ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FTGPPDDJ532MEGNN35J64P01.jpg']
Виктория Х.,10 Февраля 2022,100%,"['        Достоинства       Цена  ', '        Недостатки       Нет ', '        Комментарий       Хорошая качественная сумка.  ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/6dc8ed8f-e489-4831-b4e7-8940da9246bb.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/19f5d122-4dc9-4fb5-8ed7-c54685696456.jpeg']"
No Name,24 Января 2022,100%,"['        Достоинства       классная сумка. Качественно сшита. Нитки не торчат. Лёгкая. Очень красивая.  ', '        Недостатки       нет ', '        Комментарий       Сумка как на фото.  ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/244ec904-c7ed-4631-bbb6-943423fa2805.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/6ca23fcb-5bbb-4782-be71-d5f2d9b3e813.jpeg']"
Анастасия М.,19 Января 2022,100%,"['        Достоинства       Прочная, вместительная, красивая форма сумки ', '        Комментарий       Помещается неё много)). 1,5 литровая бутылка ложится на дно легко. Ручка соскальзывает с плеча, но это может зависеть от ткани верхней одежды. Если много запихнуть в сумку- расстегивается магнитная кнопка. Покупкой довольна ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/c64e1b7d-3651-4d73-a41f-1cfd732c8a95.jpeg']
Елена К.,6 Января 2022,100%,"['        Достоинства       Очень вместительная ', '        Недостатки       Пока не увидела ', '        Комментарий       Швы хорошо порстрочены, объёмная, мне очень нравится ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/f60182d1-64bb-4be3-a4e2-777da652f242.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/933f6a66-b9ad-45cf-9ccb-03e86730e75e.jpeg']"
Анна М.,9 Января 2022,100%,"['        Достоинства       Довольна покупкой. Отличное качество, строчки идеальные. Сумка легкая и удобная. Возьму еще другую модель.  ', '        Недостатки       Нет ', '        Комментарий       Пользуюсь с удовольствием 2 недели ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/9194838b-56fd-4f07-989e-432831746553.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/f1b6395e-ed20-40fe-9dc7-77b8d9fc7fe8.jpeg']"
Татьяна О.,3 Февраля 2022,100%,"['        Недостатки       не нашла ', '        Комментарий       Хорошо прошита. Удобная даже для моего роста 156. Карман один на молнии, сумка на кнопку застёгивается. Цвет чёрный ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/1a9869be-1e2d-4dfc-9693-b9c2ca4efaee.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/54136d21-9670-44b9-bc62-1825379d0456.jpeg']"
Наталия У.,3 Января 2022,100%,"['        Достоинства       вместительная и стильная внутри хороший карман на молнии ', '        Комментарий       отличная покупка  ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/efba8eb5-6d53-479c-b783-2468de13b0b8.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/8f8f6a78-f8ff-475c-a3ef-72061d8ce84c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/fceac9b3-49c0-44c9-8c72-f802efd9136c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/e6cc6acd-83b1-45ae-9eeb-450ee65cc57e.jpeg']"
Наталья П.,1 Февраля 2022,100%,[' Отличная объемная сумка! Сшита качественно и не смотрится как мешок. И в магазин и в бассейн пойдёт. Крепкие ручки '],"['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/cc3fd415-89b5-43ed-9cfb-9e66789bcdc6.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/510115f9-4f18-434b-97b5-466a8bcff5e0.jpeg']"
Мариана,1 Февраля 2022,100%,"['        Достоинства       Удобная, вместительная и очень практичная сумка. ', '        Недостатки       нет ', '        Комментарий       Получила то что и ожидала. Спасибо.  ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/4489ba01-d1fe-4b91-a43f-5abe9b341008.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/9c26f6bb-51e8-467b-af82-f6898938bf3d.jpeg']"
Людмила Ч.,29 Декабря 2021,100%,"['        Достоинства       отличная сумка, качество супер. длинные ручки что позволяет носить ее на плече. внутри карман на замке. покупкой довольна. пользуюсь с огромным удовольствием ', '        Недостатки       дно мягкое, но при желании можно положить картон и тем самым придать жесткость. сумка закрывается на одну кнопку, без замка что является не безопасным. ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/fe62b5c9-5ef7-4cce-aa43-c320f867cdd3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/450f6b56-9c91-4bec-b054-ddc2d9b0cef0.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/8b97c17b-0ec6-4e73-95f4-acebb2b12c81.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/07b6cd71-26e3-48fd-9582-a24f1a599d44.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/d43f0d2f-2b87-47e9-98a7-ef7e5f02313f.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/89328514-4d1c-48b9-a573-6a87479d43e4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/458637ec-46ad-42f8-b1c0-e25d4ac4985c.jpeg']"
Марина П.,27 Января 2022,100%,"['        Достоинства       Отличная сумка,качественно прошита,отличная фурнитура . ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/6b6b1765-99b9-4464-9f58-7126c27befa4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/1e80aaa0-01bb-459c-b387-9e50f31595cb.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/3b09369d-d2c3-484f-bcf7-b9b41ab7b0cc.jpeg']"
Юлия Н.,5 Мая 2022,100%,['        Недостатки       нет '],n/a
