user name,post date,post stars,user comment,images
No Name,15 Февраля 2022,100%,['        Недостатки       нет '],n/a
Лариса Н.,15 Февраля 2022,100%,"['        Достоинства       качество ', '        Недостатки       нет ', '        Комментарий       стильная, вместительная, мягкая ']",n/a
Елена М.,14 Февраля 2022,100%,"['        Достоинства       вместительная, цена ', '        Недостатки       нет ', '        Комментарий       очень удобная сумка! очень вместительная, много карманов ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FVVSVYC34QDJYSSVNZZ9KZH3.jpg']
Денис С.,12 Февраля 2022,100%,n/a,n/a
Надежда Ч.,9 Февраля 2022,100%,"['        Достоинства       Сумочка небольшая, но очень удобная! ', '        Недостатки       молнии жестковаты ', '        Комментарий       Качество хорошее, сумка небольшего размера, но при этом очень вместительная! Ручка регулируется. ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FVEXEM37FYNXNYJBPB0ZWVE6.jpg']
Marina A.,8 Февраля 2022,100%,"['        Достоинства       Сумка компактная.  ', '        Комментарий       Сумка очень понравилась.  Много отделений, что я и хотела .  Хорошо прошита. С виду компактная, очень мягкая.  Пришла  вовремя в коробке.   ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/ab77cc12-f937-422d-8426-312bdeb03365.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/78ce01a5-8a59-411a-9ba3-f2ccedec2aa3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/bf7f1ad3-905d-4b00-9097-1b23568d62c3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/a2c3fe31-cb97-4b64-96f6-e83b799d27f5.jpeg']"
Ирина П.,7 Февраля 2022,100%,"['        Достоинства       просто супер ,маленькая ,мягкая то что хотела ', '        Недостатки       нет ']",n/a
No Name,6 Февраля 2022,100%,"['        Достоинства       Все отлично ', '        Недостатки       Нет ', '        Комментарий       Пришла в упаковке, без ниток и прочего. Красивая и стильная))) ']",n/a
Сергей Е.,5 Февраля 2022,80%,"['        Достоинства       Вместительная, стильная ', '        Недостатки       Бывает заедает замок ', '        Комментарий       Неплохая сумка, брать можно. ']",n/a
No Name,4 Февраля 2022,100%,"['        Достоинства       Удобная , вместительная , в комплекте короткий ремешок ', '        Недостатки       нет ', '        Комментарий       мне всё нравится 👍 ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/e8ab6717-f716-460f-828e-23bc66cc1e04.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/061bdaba-e3cf-4db8-af71-29eaa7c3ea35.jpeg']"
Ольга К.,3 Февраля 2022,100%,n/a,n/a
Елена В.,2 Февраля 2022,100%,[' отличная сумка для повседневной носки. много карманов. все на молнии. очень удобная.  '],"['https://cdn1.ozone.ru/s3/video/cover/wc500/01FTXZAB44ZFH4SPJWQX78WKA9.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/bdcc454f-fa67-4bc5-8309-e5a49576fa23.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/bfc8336c-8e9c-42c0-be6e-27df3bf323ab.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/0c2c8c77-ae12-43e8-9353-2fc68c78470f.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/0d438caf-c109-407d-bd6b-44457b660315.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/b42ae81a-742c-4b1d-91ad-dae47eac8e46.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/f4189282-6bcb-42c4-93f6-a308e2125880.jpeg']"
